What is your current work schedule?,How would you rate the quality of your sleep over the past month? ,Count of How would you rate the quality of your sleep over the past month? 
Combination of day and evening classes,,24
,Very Poor,2
,Very Good,3
,Poor,4
,Good,4
,Fair,11
Cricketer,,1
Criketer ,,1
Day classes only,,87
,Very Poor,4
,Very Good,9
,Poor,25
,Good,24
,Fair,25
Day shift (morning to afternoon),,1
,Good,1
Doing job in shifts,,1
,Fair,1
Evening classes only,,15
,Very Poor,3
,Very Good,1
,Poor,5
,Good,3
,Fair,3
Evening shift (afternoon to evening),,3
,Very Good,1
,Fair,2
Freelancer,,1
,Fair,1
Housewife ,,1
,Good,1
Job,,10
,Poor,3
,Good,3
,Fair,4
job ,,2
,Very Poor,1
,Good,1
Online classes only,,2
,Fair,2
Operational duty in shifts ,,1
,Poor,1
Grand Total,,150
